1,cuando
1,Echa un vistazo a las fotos de hoy de la cuenta oficial
1,Echa un vistazo a las fotos
1,bueno
1,casi
1,cerca
1,delante
1,durante
1,enfrente
1,gracias
1,hace
1,lejos
1,luego
1,mejor
1,festival
1,nosotros
1,nosotras
1,genial
1,felicitar
1,felicité
1,felicitación
1,desayuno
1,desayunar
1,dia
1,semana
1,mes
1,año
1,amanecer
1,atardecer
1,aprender
1,bailar
1,bailo
1,anochecer
1,seguro
1,banco
1,parque
1,bar
1,amigos
1,quedar
1,quedado
1,bajo
1,bajar
1,buscar
1,busco
1,calma
1,dar
1,di
1,dia
1,correr
1,empezar
1,empiezo
1,entender
1,entiendo
1,gusta
1,gusto
1,gustar
1,formar
1,funciona
1,jugar
1,juego
1,juntar
1,juntos
1,llamo
1,llamar
1,llamé
1,llame
1,madurar
1,maduro
1,mantequilla
1,maquillar
1,maquillarse
1,muevo
1,mover
1,oí
1,oi
1,reaccioné
1,reacionar
1,reacione
1,salvar
1,salva
1,salvó
1,salvo
1,trae
1,traer
1,poquito
1,saber
1,se
1,sobrevivir
1,sobrevivo
1,tratar
1,trato
1,unir
1,uno
1,valor
1,volar
1,volver
1,hola
1,que tal
1,bien
1,a que hora
1,todo bien
1,genial 
1,nos vemos a las
1,quedamos alli
1,te espero
1,tengo que ir a
1,tengo que recoger
1,hay plan
1,igual piso
1,este finde aún no se
1,perfecto
1,por el centro
1,ya estamos en camino
1,lo miramos a ver
1,pues igual si
1,estás a tiempo de echar tu guitarra
1,eso con unos hielos
1,no se todavia
1,si
1,creo
1,yo te hablo al salir
1,si haceis algo me dices
1,vale
1,estareis por
1,al salir nos dijo 
1,vamos a ir ahora en un rato
1,no me levanté
1,ya vamos
1,salimos 
1,estoy en casa
1,avisame
1,es posible
1,te meto
1,vaaale
1,vale
1,te vienes de acampada
1,"si, llegan el viernes por la noche"
1,voy seguro
1,estoy de camino a casa
1,tendria que ir por casa
1,lo del saco
1,preguntale
1,me dejas el tuyo
1,pero que coche
1,vale espera
1,habia quedado con
1,quienes
1,si te apetece
1,podemos ir a algun sitio
1,tambien voy hasta tu casa
1,si te quieres venir
1,bienvenida
1,que haces hoy
1,luego nos vemos
1,me dijo ayer
1,te apetece ahora
1,como
1,si
1,nada
1,bueno
1,me alegro
1,igualmente
1,pues nos vamos diciendo
1,por mi genial
1,hoy no tengo plan
1,estaré haciendo la maleta
1,jajaja
1,jaja
1,jijiji
1,jiji
1,jejeje
1,jeje
1,ando por aqui
1,me vas diciendo 
1,te pasas al final
1,me bajo a comer
1,venga de lujo
1,tu que
